image_id,headline,caption,section,generated_finetuned_no_context,alt_text_length
abca5b50-d7ab-5bd7-8219-7f8ea486c7d4,"Top Kidney Charity Directed Aid to Patients at DaVita and Fresenius Clinics, Lawsuit Claims",Patients receiving dialysis at a DaVita clinic in Los Angeles.,Health,A patient lies in a hospital bed reading a magazine while connected to medical equipment. A healthcare worker attends to the patient in the background.,151
976931e3-d5d5-5435-a4af-cdf369a9c109,Live Nation Adds Governors Ball to Its Music Festival Lineup,Michael Rapino of Live Nation Entertainment said the high risks of starting festivals made it attractive to acquire proven entities.,Media,"A person stands at a standing desk with a computer monitor, surrounded by framed art on the walls. The space has an industrial design with exposed ceiling elements.",164
2acb6573-c7b3-58c7-b6be-eda2b81b7210,"Great New Picture Books That Teach, Without Preaching","From ""Hold Hands""",Books,A cartoon bear brushes its teeth while two other bears look on. A child stands nearby. The scene transitions to the bears holding hands in a room with green walls and decorations.,179
edc6c54e-d344-575d-b9c6-d6cfaedd5d23,What Will Finally Defeat Donald Trump?,President Trump delivered the State of the Union address on Tuesday.,Opinion,"A blurred figure stands at a podium, with two figures in the background: one in a suit and tie, and another in a white coat. An American flag is behind them.",157
78976a0d-6b08-5e03-8d49-88ad937c283f,Luxury Auto World of Wood Trim and Grey Poupon Bows to the S.U.V.,A Cadillac XT5 at the New York International Auto Show on Thursday.,Automobiles,"A white Cadillac XT5 is displayed on a glass platform, with a person examining its rear features. A large screen shows a woman's face in the background.",152
aa7c999e-51ec-5dd9-a176-7212a3fdd292,"'Jumanji: The Next Level' Review: New Faces Join the Gang, Back in the Wild","Kevin Hart, Dwayne Johnson, Jack Black and Karen Gillan in ""Jumanji: The Next Level.""",Movies,"Four characters stand together in a desert landscape: one in a hat and backpack, another in casual attire, a third in a vest, and a fourth in a crop top.",153
f78a1bff-e14a-55cc-b65e-068a90ba9bd5,Miss the N.Y.C. Subway? These Radio Plays Bring It Back to Life,"From left: Alexander Lambie, Ren Dara Santiago and Julissa Contreras, contributors to an audioplay series with episodes set inside the No. 2 train, at the Wakefield 241 Street station in the Bronx.",Theater,"Three individuals sit on a subway platform between two trains; one wears a camouflage jacket, another a black jacket with a scarf, and the third has curly hair and a leopard print coat.",185
b5035365-3636-598a-9395-9367740ae807,As Roomy as a Town House,NEW BUT PREWAR A model at the Abingdon in the West Village.,Real Estate,"A modern living room features a wooden sofa with light-colored cushions, two gray armchairs, and a circular table with a vase. A kitchen is visible through an open doorway.",172
0c435ddd-10db-5f30-8c11-b8e36093f87b,K.G.B. Museum Closes; Lipstick Gun and Other Spy Relics Go on Sale,"Julius Urbaitis and Agne Urbaityte, father and daughter curators of the K.G.B. Spy Museum, in the interrogation room. The museum, shut since March, is closing for good.",Art & Design,"A man in a leather jacket sits at a desk with a typewriter, while a woman stands nearby in an olive-green uniform. A portrait of a historical figure is displayed on the wall.",174
f0e43f2e-6423-57d7-adba-a6e447efa92a,Finding Solace During This Great Global Pause,Viewers on the National Mall in Washington watch the U.S. Air Force Thunderbirds and the Navy's Blue Angels salute to first responders on May 2.,Well,"A crowd gathers on a grassy field under a clear blue sky, watching an airplane formation fly overhead. Trees and a historic building are in the background.",155
963658cf-f3dd-5588-8a29-035dcc8a0276,'Portrait of a Lady on Fire' Review: A Brush With Passion,"Adèle Haenel as Héloïse, left, and Noémie Merlant as Marianne in ""Portrait of a Lady on Fire,"" directed by Céline Sciamma.",Movies,"Two women embrace on a beach with ocean waves in the background. The woman on the left has blonde hair tied up, while the one on the right has dark hair.",153
0b045bd4-5f2c-5811-8710-92083e41bd61,Review: 'Trisha Brown: In Plain Site' Sends Dancers Gamboling in the Grass,"Trisha Brown: In Plain Site , a project of the Trisha Brown Dance Company, with Cecily Campbell, left, and Tara Lorenzen, performing in Robert F. Wagner Park as part of the River to River festival.",Dance,"Two individuals in white attire perform an energetic movement in front of an audience by a waterfront, with a cruise ship and the Statue of Liberty in the background.",166
cf82941d-d1af-5fa5-a3de-08f3395d1c1f,What's on TV Monday: 'State of the Union' and 'Chernobyl',Rosamund Pike and Chris O&rsquo;Dowd in &ldquo;State of the Union.&rdquo;,Television,"A man and woman sit at a table, engaged in conversation. The woman holds a drink, while the man writes on a document. Stained glass windows are in the background.",162
2f051767-9588-538c-aee9-dc3f6a6acbea,The Fringe Binge,"From left, fringed looks from Monse, Diane von Furstenberg and Calvin Klein.",Fashion & Style,"Three models showcase vibrant outfits: one in a striped skirt and blouse, another in a black dress with an orange bag, and a third in a colorful fringed gown.",158
ba013f0d-9865-5eae-9b73-b9ebed300bd8,Trust Betrayed: Wives of White-Collar Criminals Tell Their Stories,"Lanora Franck and her daughter Sarah in Wichita, Kan. In 2012, Ms. Franck&rsquo;s husband, William H. Nolan, went to prison for embezzling more than $2 million from his employer.",Your Money,"Two women stand side by side outdoors near water, with a city skyline in the background. One has long dark hair and glasses, while the other has light blonde hair.",163
